system,E_cls_elec,E_mod_pauli,E_disp,E_frz,E_pol,E_vct,E_int
frame0339,5.2399,2.2446,-0.1134,7.3711,-1.4113,-1.9448,4.0150
frame0341,4.1503,2.0919,-0.0704,6.1718,-1.4034,-2.0003,2.7681
frame0343,4.4334,2.4242,-0.1781,6.6795,-1.4462,-1.6593,3.5740
frame0345,3.2527,2.2219,-0.1328,5.3418,-1.2762,-1.7787,2.2869
frame0347,3.3391,1.9000,-0.0273,5.2118,-1.2209,-1.8838,2.1070
frame0349,4.5511,3.0888,-0.2370,7.4029,-1.3401,-2.4323,3.6305
frame0351,3.4622,2.0054,-0.0701,5.3975,-1.1532,-1.7174,2.5270
frame0353,4.0136,0.5825,0.2159,4.8120,-1.4723,-0.9283,2.4115
frame0355,3.2533,3.2456,-0.3332,6.1658,-1.0838,-2.2341,2.8479
frame0357,3.4588,3.0441,-0.3461,6.1569,-1.1703,-1.7014,3.2852
frame0359,4.4907,4.8462,-0.6361,8.7008,-1.4682,-3.0137,4.2189
frame0361,6.0022,2.8627,-0.2273,8.6376,-1.5431,-2.1112,4.9833
frame0363,6.3065,1.7461,0.0106,8.0633,-1.7621,-1.8151,4.4861
frame0365,5.0437,2.1622,-0.0954,7.1106,-1.5793,-1.9526,3.5788
frame0367,3.8939,5.3773,-0.6929,8.5783,-1.4080,-2.9543,4.2161
frame0369,4.6326,2.4727,-0.1340,6.9713,-1.3471,-1.9612,3.6630
frame0371,4.2648,1.4989,0.0907,5.8544,-1.2501,-1.8465,2.7578
frame0373,2.6590,6.2455,-0.8674,8.0371,-1.2456,-2.7861,4.0054
frame0375,4.1327,1.9439,-0.0729,6.0037,-1.2815,-1.7581,2.9641
frame0377,3.1052,2.9421,-0.2779,5.7694,-1.2641,-2.2267,2.2786
frame0379,4.6961,1.8664,-0.0888,6.4738,-1.3365,-1.6375,3.4997
frame0381,4.3081,2.0676,-0.0480,6.3277,-1.1458,-2.1259,3.0559
frame0383,4.2206,3.0333,-0.2692,6.9847,-1.4138,-1.9346,3.6363
frame0385,4.4342,0.7934,0.1750,5.4026,-1.2887,-1.2177,2.8961
frame0387,5.3132,2.3876,-0.0978,7.6030,-1.5348,-2.4335,3.6347
frame0389,4.6874,3.1744,-0.2431,7.6187,-1.5659,-2.2316,3.8211
frame0391,4.3908,4.7928,-0.6060,8.5776,-1.4892,-2.4398,4.6487
frame0393,3.3320,1.4432,0.0923,4.8676,-1.2438,-1.8350,1.7888
frame0395,4.7761,2.4127,-0.1168,7.0720,-1.5174,-2.0042,3.5505
frame0397,2.4468,5.7927,-0.7869,7.4526,-1.2581,-2.7772,3.4173
frame0399,4.2404,4.9775,-0.5989,8.6190,-1.4581,-2.8088,4.3521
