system,E_cls_elec,E_mod_pauli,E_disp,E_frz,E_pol,E_vct,E_int
frame0281,0.9464,6.4761,-6.1309,1.2916,-1.5327,-3.7546,-3.9958
frame0282,3.4278,3.8926,-4.6407,2.6797,-1.4822,-2.5656,-1.3680
frame0283,2.6500,6.4196,-5.8372,3.2324,-1.4827,-2.8008,-1.0510
frame0284,2.2835,5.4274,-5.4877,2.2233,-1.5351,-3.1671,-2.4790
frame0285,3.6764,3.6714,-4.9126,2.4352,-1.1569,-2.5350,-1.2567
frame0286,2.1589,4.3054,-5.1851,1.2791,-1.1236,-2.4494,-2.2939
frame0287,2.7867,3.3496,-4.9032,1.2330,-1.3610,-2.2603,-2.3882
frame0288,3.8202,6.8504,-6.3970,4.2736,-1.7609,-3.0481,-0.5354
frame0289,2.9423,4.8856,-5.4709,2.3570,-1.6320,-2.7325,-2.0075
frame0290,1.7909,5.1007,-5.9852,0.9064,-1.6729,-3.1153,-3.8817
frame0291,0.9490,10.0256,-8.2152,2.7594,-2.0471,-4.9547,-4.2424
frame0292,2.3968,7.5289,-7.2133,2.7123,-1.7399,-3.9337,-2.9613
frame0293,1.5776,6.1682,-6.5971,1.1487,-1.6018,-3.4264,-3.8796
frame0294,2.0062,5.6588,-6.4227,1.2423,-1.9807,-3.7691,-4.5074
frame0295,1.8250,8.7313,-7.5991,2.9573,-2.2059,-4.8986,-4.1472
frame0296,1.5899,5.2019,-5.8538,0.9380,-1.5584,-3.4221,-4.0425
frame0297,1.3319,7.6627,-7.6423,1.3524,-1.9161,-4.1858,-4.7495
frame0298,-0.5414,13.7819,-9.5399,3.7006,-2.0192,-5.0973,-3.4159
frame0299,0.7421,5.6710,-6.6400,-0.2269,-1.6676,-3.9161,-5.8106
